"des_plan","anio_apertura_expediente","abandona","convocatoria_acceso","des_acceso","sexo","municipio","anio_nacimiento_interval","1st_model","scholarship","cum_absent_ratio","cum_pass_ratio","nota_admision_def","expediente","cod_plan"
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","1","JUN","Selectividad","H","CALAMONTE","(1990.0, 1995.0]",1,"N",0.3333333333333333,0.3333333333333333,6.836,448,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","1","JUN","Selectividad","H","JARAÍZ DE LA VERA","(1990.0, 1995.0]",1,"N",0.3,0.1,6.414,452,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","1","JUN","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",1,"S",0.4,0.1,7.128,460,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"S",0.1666666666666666,0.6666666666666666,11.16,467,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","0","JUN","Selectividad","D","NAVALMORAL DE LA MATA","(1990.0, 1995.0]",0,"N",0,0.6666666666666666,10.032,469,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","0","SEP","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"N",0.25,0.5,6.176,478,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","1","JUN","Selectividad","H","CASAR DE CÁCERES","(1990.0, 1995.0]",0,"N",0.25,0.375,8.528,481,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","0","JUN","Formación Profesional","H","MEDINA DE LAS TORRES","(1990.0, 1995.0]",0,"S",0.2857142857142857,0.5714285714285714,8.17,482,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","1","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"N",0.25,0.375,6.342,485,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","1","JUN","Selectividad","D","MÉRIDA","(1990.0, 1995.0]",0,"S",0.3333333333333333,0.1111111111111111,5.411,487,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","0","SEP","Selectividad","D","VILLAR DE RENA","(1990.0, 1995.0]",1,"S",0.2857142857142857,0.4285714285714285,8.358,494,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","0","JUN","Selectividad","D","CÁCERES","(1990.0, 1995.0]",0,"N",0,0.6666666666666666,10.3,498,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","1","SEP","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"S",0.3333333333333333,0.3333333333333333,6.332,499,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","1","SEP","Selectividad","H","ZALAMEA DE LA SERENA","(1990.0, 1995.0]",1,"S",0.7,0,7.054,512,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","0","SEP","Selectividad","H","CAMPANARIO","(1990.0, 1995.0]",1,"N",0.3333333333333333,0.1111111111111111,5.482,515,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","1","SEP","Selectividad","D","NAVALMORAL DE LA MATA","(1990.0, 1995.0]",1,"N",0.125,0.25,5.954,522,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2013-14","0","SEP","Selectividad","H","MALPARTIDA DE CÁCERES","(1990.0, 1995.0]",0,"N",0.4,0,5.024,523,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","0","JUN","Selectividad","H","MÉRIDA","(1995.0, 2000.0]",0,"N",0.2222222222222222,0.2222222222222222,8.614,581,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","1","JUN","Selectividad","D","BADAJOZ","(1990.0, 1995.0]",1,"S",0.4,0.2,5.792,590,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","0","JUN","Selectividad","H","CÁCERES","(1995.0, 2000.0]",0,"S",0.3333333333333333,0.6666666666666666,12.258,594,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","0","JUN","Selectividad","H","CÁCERES","(1995.0, 2000.0]",0,"N",0.1428571428571428,0.4285714285714285,10.236,596,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","1","JUN","Selectividad","H","NAVALMORAL DE LA MATA","(1990.0, 1995.0]",1,"N",0.9166666666666666,0,5.796,600,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","0","JUN","Formación Profesional","H","VILLAFRANCA DE LOS BARROS","(1985.0, 1990.0]",1,"S",0,0.8,7.92,604,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","0","JUN","Selectividad","D","VALLE DE MATAMOROS","(1995.0, 2000.0]",0,"S",0.125,0.375,6.626,607,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","0","JUN","Selectividad","D","VILLAFRANCA DE LOS BARROS","(1995.0, 2000.0]",0,"N",0.1428571428571428,0.5714285714285714,11.892,609,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","1","JUN","Selectividad","H","LLERENA","(1990.0, 1995.0]",0,"N",1,0,6.542,610,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","0","JUN","Selectividad","H","HERNÁN CORTÉS","(1995.0, 2000.0]",0,"S",0.2857142857142857,0.5714285714285714,8.582,613,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","1","JUN","Selectividad","D","CALAMONTE","(1995.0, 2000.0]",1,"S",0.6,0,6.474,619,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","1","JUN","Formación Profesional","H","MALPARTIDA DE CÁCERES","(1985.0, 1990.0]",1,"S",0.3,0,5.85,620,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","0","JUN","Selectividad","H","MONTEHERMOSO","(1995.0, 2000.0]",0,"S",0.3333333333333333,0.6666666666666666,12.046,623,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","1","JUN","Selectividad","H","LA ZARZA","(1995.0, 2000.0]",0,"S",0.4444444444444444,0.2222222222222222,8.582,625,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","1","JUN","Selectividad","H","CÁCERES","(1995.0, 2000.0]",0,"N",0.3333333333333333,0.6666666666666666,10.196,632,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","0","JUN","Selectividad","H","CÁCERES","(1995.0, 2000.0]",0,"N",0.125,0.5,10.624,633,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","1","JUN","Selectividad","H","TRUJILLO","(1990.0, 1995.0]",1,"N",0.7,0,5.622,637,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","0","EXT","Selectividad","D","VILLAFRANCA DE LOS BARROS","(1990.0, 1995.0]",1,"S",0.4444444444444444,0.3333333333333333,5.968,640,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","1","EXT","Selectividad","H","CASTAÑAR DE IBOR","(1995.0, 2000.0]",1,"S",0.4,0.1,5.564,643,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","0","EXT","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"N",0.2222222222222222,0.2222222222222222,6.886,645,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","1","EXT","Selectividad","H","MÉRIDA","(1990.0, 1995.0]",1,"N",0.4444444444444444,0.2222222222222222,5.486,650,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","1","EXT","Selectividad","H","MÉRIDA","(1995.0, 2000.0]",1,"N",0.6,0,5.242,664,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","0","JUN","Selectividad","H","MONTIJO","(1990.0, 1995.0]",0,"S",0.3333333333333333,0.5,11.364,668,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","1","JUN","Selectividad","D","ALMENDRALEJO","(1995.0, 2000.0]",0,"N",0.375,0.375,10.458,679,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2014-15","1","EXT","Selectividad","H","CÓRDOBA","(1995.0, 2000.0]",1,"N",0.5,0,7.296,690,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2015-16","1","JUN","Selectividad","H","CÁCERES","(1995.0, 2000.0]",0,"S",0.2857142857142857,0.5714285714285714,8.836,720,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2015-16","0","JUN","Selectividad","D","AZUAGA","(1995.0, 2000.0]",0,"N",0.4444444444444444,0.2222222222222222,7.14,721,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2015-16","0","JUN","Formación Profesional","H","CÁCERES","(1990.0, 1995.0]",0,"N",0.1428571428571428,0.1428571428571428,6.62,722,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2015-16","0","JUN","Selectividad","D","SIERRA DE FUENTES","(1995.0, 2000.0]",0,"S",0.3,0.2,8.9,727,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2015-16","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"N",0.6,0.1,6.214,729,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2015-16","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"N",0.2,0.4,5.314,731,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2015-16","0","JUN","Selectividad","H","QUINTANA DE LA SERENA","(1995.0, 2000.0]",0,"N",0.2857142857142857,0.4285714285714285,9.472,733,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2015-16","0","JUN","Selectividad","D","ESPARRAGOSA DE LA SERENA","(1995.0, 2000.0]",0,"S",0.2222222222222222,0.4444444444444444,11.244,739,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2015-16","1","JUN","Selectividad","H","CÁCERES","(1995.0, 2000.0]",0,"S",0.8,0,7.196,741,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2015-16","0","EXT","Selectividad","H","CÁCERES","(1995.0, 2000.0]",0,"N",0.4444444444444444,0.1111111111111111,6.822,753,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2015-16","1","JUN","Selectividad","D","TRUJILLO","(1985.0, 1990.0]",1,"N",0.5,0.5,6.99,765,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2016-17","0","EXT","Selectividad","H","PLASENCIA","(1995.0, 2000.0]",1,"N",0.6,0.2,6.874,773,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2016-17","0","JUN","Selectividad","H","CAMINOMORISCO","(1995.0, 2000.0]",0,"N",0.4,0.2,6.36,776,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2016-17","0","JUN","Selectividad","H","CÁCERES","(1995.0, 2000.0]",0,"S",0.3,0.1,7.39,779,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2016-17","1","EXT","Selectividad","H","CÁCERES","(1995.0, 2000.0]",0,"S",0.6666666666666666,0.1111111111111111,7.906,783,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2016-17","0","EXT","Selectividad","H","DON BENITO","(1995.0, 2000.0]",0,"S",0,0.3,7.996,785,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2016-17","1","JUN","Formación Profesional","D","CHIPIONA","(1985.0, 1990.0]",1,"N",0.75,0,5.6,790,1623
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2016-17","1","JUN","Formación Profesional","H","PLASENCIA","(1990.0, 1995.0]",1,"N",1,0,5.38,791,1623
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2009-10","1","JUN","Selectividad","H","CORIA","(1985.0, 1990.0]",1,"S",0.1,0.2,5.21,4,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2009-10","0","JUN","Selectividad","H","HUELVA","(1985.0, 1990.0]",0,"S",0.25,0.375,5.52,5,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2009-10","1","JUN","Selectividad","D","CORIA","(1990.0, 1995.0]",1,"N",0.4444444444444444,0.1111111111111111,5.99,8,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2009-10","1","JUN","Selectividad","H","CORIA","(1990.0, 1995.0]",1,"S",0.2857142857142857,0.4285714285714285,8.12,10,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2009-10","0","JUN","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",1,"N",0.25,0.25,5.43,11,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2009-10","0","JUN","Selectividad","H","ALBURQUERQUE","(1990.0, 1995.0]",1,"N",0.3333333333333333,0.6666666666666666,5.81,16,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2009-10","1","JUN","Formación Profesional","H","CORIA","(1985.0, 1990.0]",1,"S",0.4285714285714285,0.4285714285714285,5.89,20,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2009-10","0","JUN","Selectividad","H","SALAMANCA","(1990.0, 1995.0]",0,"S",0.25,0.5,6.49,24,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2009-10","0","SEP","Selectividad","H","MAGUILLA","(1990.0, 1995.0]",1,"S",0.4444444444444444,0.2222222222222222,5.25,25,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2009-10","0","SEP","Selectividad","H","NAVALVILLAR DE PELA","(1990.0, 1995.0]",0,"N",0.3333333333333333,0.2222222222222222,5.58,26,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2009-10","1","SEP","Selectividad","H","MÉRIDA","(1990.0, 1995.0]",1,"S",0.1111111111111111,0.2222222222222222,5.77,28,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2009-10","0","SEP","Selectividad","H","BARRADO","(1990.0, 1995.0]",0,"N",0.2857142857142857,0.5714285714285714,6.82,30,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2009-10","1","JUN","Selectividad","H","CÁCERES","(1985.0, 1990.0]",1,"S",0.3,0,5.47,31,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2009-10","0","SEP","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",1,"N",0.3333333333333333,0.1111111111111111,5.23,33,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2009-10","0","JUN","Selectividad","H","PLASENCIA","(1985.0, 1990.0]",0,"N",0,1,8.89,34,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2009-10","1","SEP","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"N",0.3333333333333333,0.3333333333333333,5.95,39,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2009-10","0","JUN","Selectividad","H","PLASENCIA","(1985.0, 1990.0]",1,"N",0.5714285714285714,0.4285714285714285,5.86,45,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2009-10","1","SEP","Selectividad","H","CÁCERES","(1985.0, 1990.0]",1,"S",0.3333333333333333,0.1111111111111111,5.14,47,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2009-10","1","SEP","Selectividad","H","SANTA AMALIA","(1985.0, 1990.0]",1,"N",0.4,0.6,5.65,50,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2009-10","1","SEP","Selectividad","D","MALPARTIDA DE PLASENCIA","(1985.0, 1990.0]",1,"N",0.5555555555555556,0.2222222222222222,8.73,51,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2009-10","1","SEP","Selectividad","H","CÁCERES","(1985.0, 1990.0]",1,"N",0.25,0.125,5.92,52,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2009-10","1","SEP","Selectividad","D","MADRID","(1985.0, 1990.0]",1,"N",0,0.375,5.16,54,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2010-11","0","JUN","Selectividad","D","BADAJOZ","(1990.0, 1995.0]",0,"N",0,0.8333333333333334,8.444,63,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2010-11","0","JUN","Selectividad","H","VILLANUEVA DE LA SERENA","(1990.0, 1995.0]",0,"S",0,0.375,8.106,64,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2010-11","0","JUN","Selectividad","H","MÉRIDA","(1990.0, 1995.0]",1,"S",0.125,0.5,6.092,68,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2010-11","0","JUN","Selectividad","H","BÉJAR","(1990.0, 1995.0]",1,"S",0.1428571428571428,0.4285714285714285,5.661,69,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2010-11","0","JUN","Selectividad","D","ESPARRAGOSA DE LARES","(1990.0, 1995.0]",0,"N",0.125,0.25,5.524,70,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2010-11","1","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"S",0.1666666666666666,0.8333333333333334,5.986,72,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2010-11","0","JUN","Selectividad","D","CAMPILLOS","(1990.0, 1995.0]",0,"S",0,0.375,7.136,77,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2010-11","1","JUN","Selectividad","H","CÁCERES","(1985.0, 1990.0]",1,"N",0.4,0.4,7.68,80,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2010-11","1","SEP","Selectividad","H","BADAJOZ","(1985.0, 1990.0]",1,"S",0.3,0,5.4,83,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2011-12","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"S",0.1111111111111111,0.2222222222222222,5.558,104,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2011-12","1","JUN","Selectividad","H","GUAREÑA","(1990.0, 1995.0]",1,"S",0.1428571428571428,0.4285714285714285,7.246,105,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2011-12","1","JUN","Selectividad","H","TRUJILLO","(1990.0, 1995.0]",1,"N",0.3333333333333333,0.2222222222222222,5.622,115,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2011-12","1","JUN","Selectividad","D","MADRIGALEJO","(1990.0, 1995.0]",1,"S",0.25,0.25,7.172,116,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2011-12","1","SEP","Selectividad","H","MALPARTIDA DE CÁCERES","(1990.0, 1995.0]",1,"N",0.2222222222222222,0.1111111111111111,5.024,119,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2011-12","1","SEP","Selectividad","H","SANTA AMALIA","(1985.0, 1990.0]",1,"S",0.4444444444444444,0.1111111111111111,5.376,121,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2011-12","0","SEP","Selectividad","H","LOS GUADALPERALES","(1990.0, 1995.0]",1,"N",0.3333333333333333,0.2222222222222222,6.022,122,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2011-12","1","SEP","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"S",0.3333333333333333,0.1111111111111111,6.176,124,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2012-13","0","JUN","Selectividad","D","PLASENCIA","(1990.0, 1995.0]",0,"N",0.1666666666666666,0.8333333333333334,8.768,136,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2012-13","1","JUN","Selectividad","H","PLASENCIA","(1990.0, 1995.0]",1,"N",0,0.6,6.896,137,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2012-13","0","JUN","Selectividad","H","ORELLANA LA VIEJA","(1990.0, 1995.0]",0,"N",0.3333333333333333,0.2222222222222222,6.71,138,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2012-13","1","JUN","Selectividad","H","PLASENCIA","(1990.0, 1995.0]",1,"N",0.3333333333333333,0.2222222222222222,6.226,139,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2012-13","1","JUN","Selectividad","H","NAVALMORAL DE LA MATA","(1990.0, 1995.0]",1,"N",0.5555555555555556,0.1111111111111111,5.796,142,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2012-13","1","SEP","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",1,"N",0.6,0.1,5.33,143,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2012-13","1","SEP","Selectividad","H","CÁCERES","(1985.0, 1990.0]",1,"N",0.5,0,5.35,144,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2012-13","1","SEP","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",1,"N",0.8,0,8.608,152,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2012-13","1","SEP","Selectividad","H","AZUAGA","(1985.0, 1990.0]",1,"N",0.5454545454545454,0.0909090909090909,5.23,153,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2013-14","0","JUN","Selectividad","D","MADRIGALEJO","(1990.0, 1995.0]",0,"S",0.2857142857142857,0.4285714285714285,11.136,169,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2013-14","1","JUN","Selectividad","H","RONDA","(1990.0, 1995.0]",1,"N",0.3,0.1,5.04,173,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2013-14","0","SEP","Selectividad","H","CÁCERES","(1985.0, 1990.0]",1,"N",0.625,0,5.82,182,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2013-14","1","SEP","Formación Profesional","H","CACABELOS","(1985.0, 1990.0]",1,"N",0,0,5.9,203,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2013-14","1","SEP","Selectividad","H","NAVALMORAL DE LA MATA","(1990.0, 1995.0]",1,"N",0.3,0,6.582,208,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2014-15","0","JUN","Selectividad","D","QUINTANA DE LA SERENA","(1995.0, 2000.0]",0,"N",0.25,0.375,8.074,233,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2014-15","1","JUN","Selectividad","H","MADRIGALEJO","(1990.0, 1995.0]",1,"N",0.5,0.1,6.606,235,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2014-15","1","JUN","Formación Profesional","D","CHIPIONA","(1985.0, 1990.0]",1,"N",1,0,5.6,236,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2014-15","0","SEP","Selectividad","H","VILLANUEVA DE LA SERENA","(1990.0, 1995.0]",1,"N",0.7,0.1,6.328,239,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2014-15","1","JUN","Selectividad","H","MONTEHERMOSO","(1990.0, 1995.0]",1,"S",0.7,0,7.118,240,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2014-15","0","SEP","Selectividad","H","ZALAMEA DE LA SERENA","(1990.0, 1995.0]",1,"N",0.2222222222222222,0.2222222222222222,7.054,251,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2015-16","1","JUN","Selectividad","H","ZARZA LA MAYOR","(1995.0, 2000.0]",1,"N",0.3333333333333333,0.1111111111111111,7.532,288,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2015-16","0","JUN","Selectividad","H","CÁCERES","(1995.0, 2000.0]",0,"N",0,0.7142857142857143,7.676,290,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2015-16","1","JUN","Selectividad","H","LLERENA","(1990.0, 1995.0]",1,"N",0.9166666666666666,0,6.542,292,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2015-16","1","JUN","Selectividad","D","VILLAFRANCA DE LOS BARROS","(1995.0, 2000.0]",0,"S",0.5,0.25,7.26,293,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2015-16","1","JUN","Selectividad","D","BADAJOZ","(1990.0, 1995.0]",1,"N",0.375,0.125,5.792,300,1624
"GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","2016-17","1","JUN","Selectividad","H","CÁCERES","(1995.0, 2000.0]",0,"N",0.25,0.375,7.94,310,1624
"GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","2009-10","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"S",0.2222222222222222,0.2222222222222222,6.57,7,1625
"GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","2009-10","1","JUN","Selectividad","H","CORIA","(1990.0, 1995.0]",1,"S",0.5,0,5.96,15,1625
"GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","2009-10","0","JUN","Selectividad","D","ORELLANA LA VIEJA","(1990.0, 1995.0]",0,"S",0,0.3333333333333333,7.39,19,1625
"GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","2009-10","1","JUN","Selectividad","H","BADAJOZ","(1990.0, 1995.0]",1,"N",0.3333333333333333,0.1111111111111111,5.41,20,1625
"GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","2009-10","1","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"S",0.4,0.1,5.06,21,1625
"GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","2009-10","0","JUN","Selectividad","H","DON BENITO","(1990.0, 1995.0]",0,"S",0.25,0.375,6.53,23,1625
"GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","2009-10","0","JUN","Selectividad","H","MÉRIDA","(1990.0, 1995.0]",0,"S",0.2857142857142857,0.4285714285714285,5.93,24,1625
"GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","2009-10","0","JUN","Formación Profesional","H","CARTAGENA","(1985.0, 1990.0]",1,"N",0.125,0.25,5.8,29,1625
"GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","2009-10","1","SEP","Selectividad","H","CÁCERES","(1990.0, 1995.0]",1,"S",0.8,0,5.09,31,1625
